Alpha,Energy,p/151
0.006622516556291391,-0.027489437953238806,1/151
0.006622516556291391,-0.017676735061255205,1/151
0.006622516556291391,0.0196916971095002,1/151
0.006622516556291391,0.034213386066975174,1/151
0.006622516556291391,0.06716170345176886,1/151
0.006622516556291391,0.08472737508521536,1/151
0.006622516556291391,0.11421318756945693,1/151
0.006622516556291391,0.1339482294411194,1/151
0.006622516556291391,0.16057151202562914,1/151
0.006622516556291391,0.18191973963146443,1/151
0.006622516556291391,0.20610355197471159,1/151
0.006622516556291391,0.22867358819499933,1/151
0.006622516556291391,0.250737817928635,1/151
0.006622516556291391,0.27423618545492195,1/151
0.006622516556291391,0.29443445391430945,1/151
0.006622516556291391,0.31863113944530164,1/151
0.006622516556291391,0.3371716508033371,1/151
0.006622516556291391,0.3618803512667485,1/151
0.006622516556291391,0.3789386808483741,1/151
0.006622516556291391,0.40400457221719827,1/151
0.006622516556291391,0.4197319952597443,1/151
0.006622516556291391,0.445023717773454,1/151
0.006622516556291391,0.45955288569147995,1/151
0.006622516556291391,0.4849570603355018,1/151
0.006622516556291391,0.4984060057566943,1/151
0.006622516556291391,0.5238233573155285,1/151
0.006622516556291391,0.5362983935033685,1/151
0.006622516556291391,0.5616409432766868,1/151
0.006622516556291391,0.5732387992723207,1/151
0.006622516556291391,0.5984278016474421,1/151
0.006622516556291391,0.609237206683948,1/151
0.006622516556291391,0.6342016246426846,1/151
0.006622516556291391,0.6443044796672248,1/151
0.006622516556291391,0.6689798659647022,1/151
0.006622516556291391,0.6784520943484629,1/151
0.006622516556291391,0.7027797881301965,1/151
0.006622516556291391,0.7116919303046706,1/151
0.006622516556291391,0.7356185042373277,1/151
0.006622516556291391,0.7440361056678113,1/151
0.006622516556291391,0.767513012467702,1/151
0.006622516556291391,0.7754968471046498,1/151
0.006622516556291391,0.7984802206867796,1/151
0.006622516556291391,0.8060863898783344,1/151
0.006622516556291391,0.8285369583440977,1/151
0.006622516556291391,0.835816905511477,1/151
0.006622516556291391,0.8576999736094268,1/151
0.006622516556291391,0.8647004552868692,1/151
0.006622516556291391,0.8859859152378643,1/151
0.006622516556291391,0.8927489672593353,1/151
0.006622516556291391,0.9134113006872318,1/151
0.006622516556291391,0.9199742331109346,1/151
0.006622516556291391,0.9399924739603048,1/151
0.006622516556291391,0.9463879197133667,1/151
0.006622516556291391,0.965745557947007,1/151
0.006622516556291391,0.9720015892936592,1/151
0.006622516556291391,0.9906864063474151,1/151
0.006622516556291391,0.9968267220234881,1/151
0.006622516556291391,1.0148305595578389,1/151
0.006622516556291391,1.0208747357024979,1/151
0.006622516556291391,1.0381932074985445,1/151
0.006622516556291391,1.044156998699819,1/151
0.006622516556291391,1.0607891606971613,1/151
0.006622516556291391,1.0666848340214712,1/151
0.006622516556291391,1.0826328294207723,1/151
0.006622516556291391,1.088469513885164,1/151
0.006622516556291391,1.103738209519809,1/151
0.006622516556291391,1.1095222452610995,1/151
0.006622516556291391,1.1241188729766707,1/151
0.006622516556291391,1.12985414740622,1/151
0.006622516556291391,1.1437879608747061,1/151
0.006622516556291391,1.149476222534849,1/151
0.006622516556291391,1.162758176496713,1/151
0.006622516556291391,1.16839932055708,1/151
0.006622516556291391,1.1810417763449483,1/151
0.006622516556291391,1.1866340983533845,1/151
0.006622516556291391,1.198650557113515,1/151
0.006622516556291391,1.2041909736104122,1/151
0.006622516556291391,1.2155958361433739,1/151
0.006622516556291391,1.2210800720959916,1/151
0.006622516556291391,1.2318884249076223,1/151
0.006622516556291391,1.2373111684488542,1/151
0.006622516556291391,1.2475385863626476,1/151
0.006622516556291391,1.2528936123101704,1/151
0.006622516556291391,1.2625559975097813,1/151
0.006622516556291391,1.2678362572411375,1/151
0.006622516556291391,1.2769496262012818,1/151
0.006622516556291391,1.2821473147363187,1/151
0.006622516556291391,1.290727809653008,1/151
0.006622516556291391,1.2958343677576123,1/151
0.006622516556291391,1.303897575889632,1/151
0.006622516556291391,1.3089037599343307,1/151
0.006622516556291391,1.3164661376011246,1/151
0.006622516556291391,1.3213617155159323,1/151
0.006622516556291391,1.3284358283086064,1/151
0.006622516556291391,1.3332101872163356,1/151
0.006622516556291391,1.3398170710182806,1/151
0.006622516556291391,1.3444570542885728,1/151
