Alpha,Energy
0.02,-1.5036219937311313
0.02,-1.4939775709324592
0.02,-1.470532413155829
0.02,-1.4493924057969776
0.02,-1.436010514278638
0.02,-1.4338573246323545
0.02,-1.4295210975436303
0.02,-1.4169117450878226
0.02,-1.415115041180303
0.02,-1.4039199705609624
0.02,-1.3872829842749554
0.02,-1.3683316642451042
0.02,-1.3475208167139237
0.02,-1.3251859504601715
0.02,-1.3015941645922657
0.02,-1.2769742812748552
0.02,-1.2515296812241334
0.02,-1.2254454153937795
0.02,-1.1988928382990711
0.02,-1.172031564390786
0.02,-1.1450142806269588
0.02,-1.1179892836423693
0.02,-1.0910841748111988
0.02,-1.0644652215144352
0.02,-1.0382629385314275
0.02,-1.0124841189860863
0.02,-0.987693990154421
0.02,-0.9633788565555041
0.02,-0.9396126549404387
0.02,-0.9191240049528948
0.02,-0.8951007810757992
0.02,-0.876056736249616
0.02,-0.8627650524262895
0.02,-0.8289987256802804
0.02,-0.8213792455330474
0.02,-0.8122399226855718
0.02,-0.7686598164857285
0.02,-0.7570277738952631
0.02,-0.730271737806198
0.02,-0.7009953417158247
0.02,-0.6839925339272985
0.02,-0.6260347693404346
0.02,-0.6003287402490809
0.02,-0.5435235230419068
0.02,-0.518906752923965
0.02,-0.4720159785664344
0.02,-0.4069178649540628
0.02,-0.3624646428082962
0.02,-0.20848124929099665
0.02,-0.1724818951602347
0.02,0.9049472131189427
0.02,0.9561427505078506
0.02,1.1670708602382986
0.02,1.2205395244147899
0.02,1.3379218458674742
0.02,1.3565310581588714
0.02,1.3883749705739115
0.02,1.4524709966777494
0.02,1.4603308041884402
0.02,1.4986941598654886
0.02,1.5250962741114453
0.02,1.5415943408823667
0.02,1.5711730643224184
0.02,1.585334635217309
0.02,1.6049870988729587
0.02,1.6304207288019934
0.02,1.6458064459898933
0.02,1.6680174333871385
0.02,1.6908202719120935
0.02,1.7103974419243704
0.02,1.7317701655090634
0.02,1.752805048275918
0.02,1.7733919409087955
0.02,1.7947600866604545
0.02,1.8164432444808183
0.02,1.8383066074375551
0.02,1.8601339722856958
0.02,1.8807453557829876
0.02,1.8954655504027245
0.02,1.9075368432995001
0.02,1.925187803007607
0.02,1.9410940842004119
0.02,1.959039646219086
0.02,1.9720538928066866
0.02,1.9941086243598956
0.02,2.000736663510361
0.02,2.0300508995179083
0.02,2.031998168916412
0.02,2.0671562103228247
0.02,2.067571683276367
0.02,2.105093830181999
0.02,2.1051703872377066
0.02,2.142861133102529
0.02,2.142873698425592
0.02,2.179040740621407
0.02,2.1790427611481444
0.02,2.2108792232068892
0.02,2.2108794143556705
0.02,2.2343846271241814
0.02,2.2343847256193627
0.02,4.045638558986897
0.02,4.056847926323501
0.02,4.100701505831726
0.02,4.1158408161940905
0.02,4.147996954254274
0.02,4.164436856874267
0.02,4.18818904857607
0.02,4.204942744111651
0.02,4.222217227647236
0.02,4.238691589728072
0.02,4.250485458235587
0.02,4.266204461603209
0.02,4.273481421495544
0.02,4.288594508712531
0.02,4.2928531560568555
