    p     	    q     	        p/q         	         y          	eigenvalue
    1     	    2     	         1/2         	        0.5         	[-0.210935355  1.072935355]
    1     	    3     	         1/3         	 0.3333333333333333 	[0.862 0.862 1.414]
    1     	    4     	         1/4         	        0.25        	[0.5993685403 1.0415204843 1.23         1.3131109754]
    1     	    5     	         1/5         	        0.2         	[0.5952739538 0.8619336829 1.022579939  1.306852107  1.4433603173]
    1     	    6     	         1/6         	0.16666666666666666 	[0.4896211252 0.8378917457 1.0446387186 1.2364016092 1.2893761025 1.3780706988]
    1     	    7     	         1/7         	0.14285714285714285 	[0.5144074839 0.7541567932 0.8975222931 1.1520690371 1.2917669679 1.3221094485 1.3899679762]
    1     	    8     	         1/8         	       0.125        	[0.4746096411 0.7291910127 0.906915503  1.0662527141 1.139685152  1.2407976736 1.3649022991 1.4456460042]
    1     	    9     	         1/9         	 0.1111111111111111 	[0.4755687533 0.6816989249 0.8145653559 1.0326867983 1.1518885839 1.1767137051 1.2588650459 1.3763284524 1.4456843802]
    1     	    10    	         1/10        	        0.1         	[0.4573136275 0.6569568183 0.8102499308 0.9595622006 1.0332030241 1.1436360198 1.2523580174 1.3577297218 1.3707834191 1.4182072204]
    1     	    11    	         1/11        	0.09090909090909091 	[0.4522073923 0.6269255739 0.7552252117 0.9358872956 1.0335923433 1.091509032  1.1517835615 1.2841663917 1.3668138139 1.3850505477 1.4228388364]
    1     	    12    	         1/12        	0.08333333333333333 	[0.4418233991 0.6058729332 0.7423730849 0.8845086612 0.955007286  1.0714745891 1.1521691545 1.2500909025 1.2748207313 1.3306140532 1.396848544  1.446396661 ]
    1     	    13    	         1/13        	0.07692307692307693 	[0.4359505848 0.5848266424 0.7080978166 0.8609699208 0.9476640449 1.0260185475 1.0754609483 1.1965349303 1.2825098288 1.290699749  1.3419675323 1.4007737608 1.4465256936]
    1     	    14    	         1/14        	0.07142857142857142 	[0.4289147881 0.5678400055 0.6924412863 0.825169034  0.8954363493 1.010371591  1.0739620959 1.1580866856 1.1871989066 1.2481398693 1.3316441998 1.391558947  1.399433195  1.4338030467]
    1     	    15    	         1/15        	0.06666666666666667 	[0.4236217851 0.5520264293 0.669126499  0.8024568566 0.8828867162 0.9711449433 1.0179577205 1.1260283927 1.1970614155 1.2067429456 1.2600989475 1.3448508918 1.394197832  1.4054938012 1.4363048239]
    1     	    16    	         1/16        	       0.0625       	[0.4183015644 0.5384066424 0.653898843  0.7759431563 0.8470632758 0.9551068426 1.0124384926 1.0866883924 1.1196564829 1.1783670577 1.25639558   1.3250754953 1.3392097677 1.3719742392 1.4100127877 1.44746138  ]
    1     	    17    	         1/17        	0.058823529411764705	[0.4137892588 0.5259880273 0.6365875509 0.7554748128 0.8316972171 0.9234727429 0.9701250899 1.0681670618 1.1240575636 1.1417948505 1.1885980563 1.2767408294 1.3401226898 1.347426216  1.3784049862 1.4118334233 1.4477196234]
    1     	    18    	         1/18        	0.05555555555555555 	[0.4095139617 0.5149506102 0.6229768959 0.7345859219 0.8057320131 0.9059847139 0.9607854762 1.0316560485 1.0663313788 1.1237655379 1.1882107703 1.2541696306 1.2696113128 1.311089404  1.3693193814 1.4056399528 1.4117998655 1.4418771244]
    1     	    19    	         1/19        	0.05263157894736842 	[0.4056975195 0.5049055683 0.6092653103 0.7167508558 0.7897612375 0.8807656705 0.9283602811 1.017689844  1.0642083322 1.0933233534 1.1303866964 1.2146334148 1.2755682417 1.2825908122 1.3190222463 1.3761781725 1.4067043757 1.4148489604 1.4433391074]
    1     	    20    	         1/20        	        0.05        	[0.4021421193 0.4958233176 0.5974553169 0.699575891  0.7697011928 0.8629572883 0.9160657032 0.9869526871 1.0216552927 1.0809496608 1.1302926995 1.1900091905 1.207642779  1.2516547547 1.313124254  1.3624639415 1.3727560718 1.3929495764 1.4169960286 1.4488322341]
    1     	    21    	         1/21        	0.047619047619047616	[0.3988930543 0.4875213382 0.5861364998 0.6841858766 0.7544923822 0.8422410759 0.8909245177 0.9728547583 1.014976486  1.0545540815 1.0844734291 1.1611593414 1.215212753  1.2220432947 1.2604010572 1.324193452  1.3705344806 1.3770202307 1.3969986989 1.4180243986 1.4491587932]
    1     	    22    	         1/22        	0.045454545454545456	[0.395872202  0.4799327355 0.5759519153 0.6696834863 0.7381334424 0.8252783357 0.8770313298 0.9480939209 0.9829397079 1.0444919116 1.0826094966 1.1358431911 1.1552178181 1.1985881253 1.2577201451 1.3093232112 1.319209959  1.3479665667 1.3900562175 1.4130526052 1.4184014056 1.4466022711]
    1     	    23    	         1/23        	0.043478260869565216	[0.3930773859 0.4729547007 0.566364212  0.6563835185 0.7242564132 0.8076851872 0.8569285509 0.9331277364 0.9733229713 1.0205326125 1.0476040085 1.1163233139 1.1612601937 1.170386129  1.2069216262 1.272961694  1.321633735  1.3276627533 1.3531747538 1.3941365826 1.4135757435 1.4202130529 1.447513125 ]
    1     	    24    	         1/24        	0.041666666666666664	[0.3904713856 0.4665253845 0.5575503748 0.6439262239 0.7104039203 0.7921232108 0.8427389731 0.9128883002 0.9485724897 1.0104566613 1.0432599258 1.0912739068 1.1121502618 1.1532041085 1.2063467688 1.2558842995 1.2674741962 1.2999650911 1.3468626337 1.3832858455 1.3920882507 1.4048112525 1.4214339953 1.4503025399]
    1     	    25    	         1/25        	        0.04        	[0.3880416963 0.4605783862 0.5492897077 0.6323644348 0.6979655983 0.7768260136 0.8260182569 0.897803286  0.9370686992 0.9891516345 1.0158947279 1.0783564233 1.1147630931 1.1279290973 1.1603216084 1.2249976968 1.2722827174 1.2775751868 1.306418268  1.3535188768 1.3880396223 1.3943897697 1.407637672  1.4221255487 1.450641978 ]
    1     	    26    	         1/26        	0.038461538461538464	[0.3857667697 0.455064224  0.5416084999 0.6215334764 0.6859520218 0.7627784145 0.812375137  0.8806471853 0.9172931274 0.9779207072 1.0091856801 1.0545672681 1.0765013005 1.1155468779 1.1605329395 1.2067182011 1.2194875463 1.2537150959 1.3023112737 1.343167067  1.3499495403 1.3708208783 1.4026450841 1.4176455605 1.4226432218 1.4496229017]
    1     	    27    	         1/27        	0.037037037037037035	[0.3836337961 0.4499362241 0.5344032041 0.6114098708 0.6748583876 0.7492783477 0.7979861393 0.8661595673 0.9048723541 0.959512484  0.9869226014 1.044762629  1.0752248101 1.0937659603 1.1208189095 1.1818914055 1.2253929852 1.230693622  1.26054381   1.3119428242 1.3506298394 1.3556611024 1.374318951  1.4053281182 1.4179482905 1.4238728256 1.4502309407]
    1     	    28    	         1/28        	0.03571428571428571 	[0.3816283308 0.4451561478 0.5276564628 0.6019036109 0.6642810927 0.7366574719 0.7852795641 0.8511489328 0.8884248016 0.9472635468 0.9781998974 1.0233869933 1.0457301649 1.0846354352 1.1206612741 1.1631005766 1.1768212116 1.2111842249 1.2584598839 1.299477353  1.307799665  1.3321909856 1.3683070335 1.3957990591 1.4042389419 1.4122023623 1.4246955722 1.4517094036]
    1     	    29    	         1/29        	0.034482758620689655	[0.3797394951 0.4406895271 0.5213107115 0.5929746643 0.6543755922 0.7246280299 0.7725985621 0.8376115346 0.8759057957 0.9312857874 0.9596864186 1.0139032824 1.0412334372 1.0657604117 1.0879399076 1.144057935  1.1823909663 1.1886816254 1.2178896525 1.2706620819 1.3102914389 1.3149342762 1.3369579253 1.3725708263 1.398764975  1.4055215326 1.4143645777 1.4252417675 1.4520272617]
    1     	    30    	         1/30        	0.03333333333333333 	[0.377956716  0.4365068724 0.5153395571 0.584564968  0.6449675836 0.713281268  0.7609354481 0.8242020134 0.861708878  0.9187003346 0.9495235088 0.9955374547 1.0180514522 1.05831928   1.0865405724 1.1252900907 1.1398039299 1.1731386109 1.2172262785 1.2569266695 1.2661915675 1.2928974993 1.3323259345 1.3651494564 1.3699206699 1.385731357  1.4108658971 1.4208904812 1.425802571  1.4517030792]
    1     	    31    	         1/31        	0.03225806451612903 	[0.3762711831 0.4325819422 0.5097056081 0.576635642  0.6360900898 0.7024880298 0.749588465  0.8117110723 0.8496173604 0.9045354611 0.9338218535 0.9852657381 1.0112777682 1.0412383876 1.0605524144 1.1113101145 1.1439148627 1.1519753317 1.179346934  1.2316318127 1.2701761493 1.2745063535 1.2982597011 1.3387949492 1.3698479248 1.3739859692 1.3881270081 1.4127806696 1.4211030999 1.4267224881 1.4521356158]
