Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6
-0.5981042192913927,-0.5981042192913925,2.508730473395275,2.508730473395275,2.978599445757576,2.978599445757576
-0.5982699625886314,-0.5932782099695891,2.5008638613791603,2.5120510547940524,2.9769998252134626,2.9831952660093153
-0.5938553098272651,-0.5838575250800067,2.489037751605805,2.5106708445477675,2.9786242352419,2.9902595434366033
-0.5850818127148507,-0.5700513835655612,2.4741451025293393,2.504904277841959,2.9833592879782533,2.999088034141583
-0.5723032705534291,-0.5522050555033436,2.457233915101486,2.4954582098783655,2.990817410661926,3.0089434903887176
-0.555990470698568,-0.5307862503106842,2.4393783409390557,2.4832755537360183,3.0004774470752724,3.019170439484351
-0.5367099406123086,-0.5063651383993092,2.421586756346446,2.4693636788307294,3.0118343355568444,3.0292664558281297
-0.5150967603182116,-0.47958783331015603,2.4047382118758938,2.454653787486034,3.0245117202571414,3.0389183688592296
-0.49182195513742766,-0.4511436060646418,2.3895331290739086,2.439903686599307,3.038325630212682,3.0480178386652943
-0.4675557260316964,-0.42172687696924654,2.376448437503151,2.4256366609325477,3.0533078143397323,3.0566671887066788
-0.44292870173586846,-0.39199608626698224,2.365694415387896,2.412107006300581,3.0651803758226457,3.069700400378849
-0.4184943262935696,-0.36253270142431687,2.3571773855873763,2.3992888210074743,3.0740782496220334,3.0879284390711885
-0.39469614529511665,-0.3338045503199482,2.350478393460153,2.3868906558507894,3.0840722128639753,3.108551545448508
-0.37184382300928415,-0.30613798238533724,2.344862241205613,2.3744003842039474,3.0960264609911534,3.1321941586167665
-0.35010101932481563,-0.2797027510238962,2.339331574187887,2.361160752926279,3.110888049989655,3.1594571395521815
-0.32948682049038014,-0.25451194999844023,2.332733647926609,2.346467598912798,3.12957954741121,3.1908204669169584
-0.3098905583197567,-0.2304371529235348,2.3239109600248518,2.329673704980238,3.1528632805458714,3.2265539409867046
-0.29109804507060527,-0.20723669162961733,2.310277410350344,2.311865710726413,3.1812052000573674,3.26665485387442
-0.27282594922680387,-0.1845933736852994,2.287979819969061,2.2958951748684076,3.2146776188130826,3.3108255492539307
-0.25476049237583775,-0.1621572440765504,2.262705634247509,2.2756632511662818,3.252931202070135,3.3584920672881955
-0.23659683824275188,-0.13958923947324198,2.2345939075543915,2.251200417182616,3.2952398600759487,3.4088539684736827
-0.21807623696123388,-0.11660246863887017,2.203971032715554,2.2228518159781214,3.340595574588157,3.460950126173091
-0.19901886216044998,-0.09299896345238888,2.171317971115282,2.1912045568443492,3.387819937502739,3.513726421939869
