Lambda1,Lambda2,Lambda3
-0.6081000191410167,-0.5881084737482724,2.4990242694104143
-0.6032748208667488,-0.5883056502199024,2.5022622449764302
-0.5938242951343227,-0.583953518907651,2.498429494854367
-0.5799563312823228,-0.5752749777411834,2.4833899990428554
-0.5626259446915093,-0.5620140234321848,2.466351165512414
-0.5464799407857044,-0.5404621745359507,2.4483882437733926
-0.5274066128809887,-0.5158675125440547,2.430500712932778
-0.5060442363578584,-0.4888724609170992,2.4135515744829616
-0.4830667193548973,-0.4601627416045074,2.398220424842516
-0.4591463857224604,-0.43042984342481516,2.384960179683062
-0.4349147639665602,-0.4003304175530964,2.3739549827962514
-0.41092456073107436,-0.3704457883528274,2.365083977948995
-0.3876166579227577,-0.3412456783568062,2.3579017276691685
-0.36529603237330477,-0.31306056013471406,2.3516503020237542
-0.3441197615948125,-0.28606646994562795,2.345317988450607
-0.3240987961702131,-0.26028461338073017,2.3377514687630163
-0.3051132714573333,-0.23559597271485389,2.327294228457646
-0.28693929201305046,-0.21176895914549754,2.309105306007914
-0.2692838151749716,-0.18849653180904452,2.2880238970158113
-0.2518237355337447,-0.16543849054328696,2.263944349058689
-0.2342454978272268,-0.14226485196638824,2.2369819004762683
-0.21628229414718253,-0.11869705912354464,2.207446303916147
-0.19774680428884553,-0.09454485102730281,2.1758081508371445
-0.1785582309402008,-0.06973756536793041,2.142666698983603
-0.1587628862642777,-0.04434922322177781,2.108723239822007
-0.1385477380395802,-0.018616834254118864,2.074760234010323
-0.11824614918329301,0.007049051164500164,2.04110932747436
-0.09833465011935594,0.03206335926262477,2.005699183003874
-0.07941916232597673,0.055677968079033024,1.972966434442996
-0.06220894636625071,0.07700939553695599,1.9440538602931974
-0.04747708575759821,0.09508634426077947,1.920073510860775
-0.036007945522484014,0.10891862296867202,1.9020457394095363
-0.028534901834441906,0.11758404406631431,1.8908217966711647
-0.025675230889702916,0.12032269135863816,1.8869999999999998
-0.027872041526485786,0.1166212028200706,1.890852431162238
-0.0353537645044551,0.10626779484420618,1.9022811395655828
-0.04811883040766719,0.08936473111553644,1.9208169009571474
