Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6,Lambda7,Lambda8,Lambda9
-0.6970160763610336,-0.6970160763610322,2.7439999999999998,2.744,3.595016076361032,3.5950160763610333,-0.6970160763610336,-0.6970160763610322,2.7439999999999998
-0.6967784338887014,-0.6967784338887003,2.743574590739971,2.7435745907399745,3.595203843148725,3.5952038431487288,-0.6967784338887014,-0.6967784338887003,2.743574590739971
-0.6960691044071963,-0.6960691044071956,2.7423059715680305,2.742305971568031,3.595763132839164,3.5957631328391657,-0.6960691044071963,-0.6960691044071956,2.7423059715680305
-0.6948988372757032,-0.6948988372757015,2.7402167762563323,2.740216776256335,3.5966820610193686,3.5966820610193686,-0.6948988372757032,-0.6948988372757015,2.7402167762563323
-0.693285399925651,-0.6932853999256501,2.737344098943444,2.7373440989434457,3.5979413009822037,3.5979413009822045,-0.693285399925651,-0.6932853999256501,2.737344098943444
-0.6912533556057474,-0.691253355605747,2.733738589134831,2.7337385891348314,3.599514766470917,3.5995147664709184,-0.6912533556057474,-0.691253355605747,2.733738589134831
-0.6888337523224227,-0.6888337523224219,2.729463255957056,2.7294632559570573,3.6013704963653654,3.601370496365366,-0.6888337523224227,-0.6888337523224219,2.729463255957056
-0.6860637233175958,-0.6860637233175936,2.7245920419144647,2.724592041914465,3.60347168140313,3.603471681403132,-0.6860637233175958,-0.6860637233175936,2.7245920419144647
-0.6829859998677167,-0.6829859998677156,2.719208230420323,2.7192082304203242,3.6057777694473914,3.6057777694473914,-0.6829859998677167,-0.6829859998677156,2.719208230420323
-0.6796483378775673,-0.6796483378775667,2.7134027491585493,2.7134027491585533,3.6082455887190155,3.6082455887190164,-0.6796483378775673,-0.6796483378775667,2.7134027491585493
-0.6761028607200356,-0.6761028607200344,2.707272424305532,2.7072724243055326,3.6108304364145014,3.6108304364145023,-0.6761028607200356,-0.6761028607200344,2.707272424305532
-0.6724053220676386,-0.6724053220676383,2.700918230702037,2.700918230702038,3.6134870913655996,3.6134870913656005,-0.6724053220676386,-0.6724053220676383,2.700918230702037
-0.6686142940844259,-0.6686142940844247,2.694443572139857,2.694443572139858,3.6161707219445685,3.61617072194457,-0.6686142940844259,-0.6686142940844247,2.694443572139857
-0.6647902882877839,-0.6647902882877829,2.6879526156386095,2.6879526156386135,3.618837672649169,3.6188376726491702,-0.6647902882877839,-0.6647902882877829,2.6879526156386095
-0.6609948186113395,-0.6609948186113387,2.6815486950614567,2.681548695061457,3.621446123549881,3.621446123549882,-0.6609948186113395,-0.6609948186113387,2.6815486950614567
-0.6572894186332517,-0.6572894186332503,2.675332793240852,2.675332793240853,3.6239566253923963,3.6239566253923963,-0.6572894186332517,-0.6572894186332503,2.675332793240852
-0.6537346274761217,-0.6537346274761204,2.669402108065732,2.6694021080657357,3.6263325194103873,3.6263325194103877,-0.6537346274761217,-0.6537346274761204,2.669402108065732
-0.6503889613985675,-0.6503889613985672,2.663848706465802,2.663848706465802,3.628540254932763,3.628540254932765,-0.6503889613985675,-0.6503889613985672,2.663848706465802
