# Band structure data
-6.099999999999983213e-02 2.524541053161005522e+00 2.725458946838995367e+00
1.170658479528285251e-02 2.089487039180272454e+00 2.693530929381631633e+00
5.842038680878788859e-02 1.416071064375865163e+00 2.577826818578853985e+00
-5.351305000530620637e-02 1.425824572014056546e+00 2.366025267324466164e+00
6.299120329904450699e-02 1.836967008469319929e+00 2.126716156158125592e+00
1.911602316589049999e-01 1.993486788382584196e+00 2.161388295724358422e+00
1.303938214173546717e-01 2.003779585991221523e+00 2.054561863620517848e+00
-3.444950769026822179e-02 1.566421145807006976e+00 2.268546834814991975e+00
8.165208287599146075e-03 1.335112058683382008e+00 2.504618416940162184e+00
-2.614096464089375391e-02 2.277364521667349706e+00 2.543361737375287035e+00
2.480973793568949648e-02 2.195629693401302873e+00 2.260172445671477792e+00
1.319364068429194903e-01 1.629734841574093762e+00 2.144727208419624720e+00
1.730279228368312994e-01 1.543982781178655284e+00 1.996312417471892475e+00
3.427567187244880964e-01 1.581047841238401030e+00 2.099400525495322523e+00
4.472086282456557149e-01 1.611075942355543411e+00 2.267856439447931027e+00
3.288116656810626814e-01 1.731537583454123341e+00 2.117971255593300128e+00
1.808254155388436257e-01 1.650454952483721316e+00 1.962888778801910927e+00
1.818064887936754470e-01 1.512999009770115810e+00 2.066119058588649526e+00
4.056321119874883863e-02 1.625902514474151683e+00 2.379058146450296451e+00
1.587252473656737203e-02 1.638249033080666273e+00 2.263583450663738450e+00
6.538015735357635694e-02 1.593581168174162510e+00 2.064967636374742455e+00
2.724410498411391490e-01 1.467156404695091121e+00 2.039805791801201806e+00
6.603195928077219001e-01 1.318955533428414650e+00 2.115233259826263978e+00
8.969510744883231190e-01 1.315367082195138204e+00 2.119962956661099351e+00
6.617407392968279733e-01 1.476720895908199882e+00 2.080541767953856702e+00
3.886576449791561694e-01 1.432885682155968565e+00 2.064519096712897905e+00
2.040474882657030142e-01 1.466024330930989716e+00 2.035390835056943626e+00
1.413657213714091809e-01 1.649004060924504023e+00 1.900630217704085467e+00
1.155396319855259563e-01 1.597418839277762626e+00 2.020928035654887100e+00
2.487081006635681601e-02 1.642218101250576101e+00 2.197223343361585535e+00
2.093434323727582091e-01 1.733806960651642637e+00 2.121864623063929312e+00
7.937408857378422944e-01 1.635613957019761422e+00 1.839015116026734065e+00
1.299588467076622678e+00 1.437234723016192373e+00 1.638976630478517604e+00
1.061906898826993073e+00 1.472863381399462268e+00 1.792178278978066919e+00
4.026951265635718147e-01 1.762409188460640541e+00 1.984756013029363109e+00
4.556143175896916475e-02 1.672254868063015154e+00 2.219359493985505249e+00
9.307697318633190164e-02 1.525950424664667793e+00 2.290073927219508310e+00
2.385123060650055082e-01 1.442155129089519372e+00 2.330132303195088461e+00
1.015024927139707156e-01 1.765710106626770637e+00 2.346447961847703212e+00
1.777192396580886957e-01 1.849012234631097984e+00 2.306028235636406354e+00
6.116624831529169359e-01 1.407763745623882512e+00 2.292670865170173045e+00
4.479675075615546787e-01 1.528290964045154299e+00 2.285995620131068051e+00
6.033726278047365499e-01 1.335791015640942492e+00 2.348570148239422117e+00
3.132623420335383657e-01 1.690508420422159430e+00 2.333912796559776126e+00
5.510824477644462455e-02 1.841252283193532291e+00 2.381613430498283002e+00
4.337733537547132645e-01 1.535387535303965656e+00 2.291270210955804743e+00
6.237558086563959048e-01 1.323703209430322492e+00 2.352390145538617361e+00
2.243300738249296711e-01 1.774637483296408247e+00 2.338982298218821310e+00
6.750397578813303878e-02 1.807759818970008148e+00 2.372959466613995705e+00
2.419608258128963241e-01 1.494663872731197385e+00 2.312081814586098627e+00
1.026040298505023207e-01 1.523777181770972433e+00 2.287010844181679659e+00
2.138555818808990372e-01 1.437253984982348909e+00 2.325976519225238626e+00
1.385016353089764951e-01 1.697926946164892037e+00 2.338958852854958526e+00
1.202245942645149279e-01 1.872359082997710367e+00 2.328986316771933573e+00
1.291541053161004537e+00 1.492458946838995493e+00 1.594999999999999751e+00
9.289299726196191820e-01 1.552224007572042375e+00 1.818770530825110976e+00
2.979254733063215199e-01 1.753473579121904491e+00 2.056305708308212576e+00
2.998449405931324571e-02 1.648168971509079261e+00 2.221316012530585304e+00
1.139792979288504204e-01 1.533637960818221346e+00 2.104961746563876357e+00
1.444453700511929561e-01 1.623752624245741405e+00 1.924434335670175411e+00
1.276379315958967864e-01 1.608603164294952759e+00 1.982374106186300944e+00
3.461145556860820843e-02 1.626061348622613201e+00 2.171367225818389368e+00
1.370818295397088216e-01 1.716025346864882506e+00 2.169441604859259520e+00
8.716527561107931810e-01 1.356554378335916633e+00 2.111776471137066125e+00
6.036936657973578368e-01 1.478527751679578506e+00 2.077744346549719623e+00
3.444808101672953149e-01 1.426851168590440810e+00 2.056767466371661079e+00
1.803125928211547213e-01 1.483303070453615868e+00 2.044935119411596780e+00
1.051976970442269621e-01 1.544566460920467232e+00 2.223988898619289500e+00
5.016016442853333396e-02 1.614246705156155315e+00 2.375482794352530291e+00
1.653362309570645741e-02 1.641711632340219662e+00 2.300395243369897091e+00
4.646312331168045429e-02 1.606674705875858811e+00 2.096899478017478557e+00
2.154228131724277850e-01 1.497885656936730259e+00 2.028693293346705673e+00
4.377055586038091084e-01 1.633313050327968252e+00 2.265356193874517476e+00
2.942051832801989564e-01 1.747224902239499000e+00 2.062198430849639497e+00
1.691423988801498413e-01 1.598309649806361366e+00 1.976846117668369818e+00
1.842563021289139180e-01 1.549298512620185475e+00 2.090022234563183812e+00
9.309054297409945222e-02 2.070692278899356698e+00 2.202940906537553367e+00
-1.861840034913633465e-02 2.271407946490312746e+00 2.528343486744854651e+00
4.686851820176901780e-03 2.265233382309671750e+00 2.313552489527768596e+00
1.168101436256178960e-01 1.715401249245028126e+00 2.173627223438913347e+00
1.601018751674775920e-01 1.525664917418584787e+00 2.018299045741740905e+00
