lambda1,lambda2,lambda3
-0.46350709426587056,2.4749999999999996,3.8005070942658703
-0.46337520216494943,2.4750798922707355,3.800295309894215
-0.4629800161192766,2.475319446547679,3.7996605695715977
-0.4623230054727076,2.4757182940302087,3.7986047114424966
-0.46140661437225716,2.476275816070711,3.7971307983015476
-0.4602342546241881,2.476991138214994,3.795243116409195
-0.458810295683274,2.4778631218804623,3.7929471738028107
-0.4571400517665584,2.4788903536954625,3.790249698071098
-0.45522976608140764,2.48007113253309,3.7871586335483145
-0.4530865921567366,2.4814034542845613,3.783683137872176
-0.45071857226622125,2.48288499443186,3.7798335778343612
-0.4481346129331586,2.4845130884976525,3.775621524435507
-0.44534445750869056,2.486284710472278,3.7710597470364124
-0.4423586558182253,2.4881964493444584,3.766162206473764
-0.4391885308755387,2.490244483894185,3.7609440469813533
-0.43584614267001115,2.4924245559440945,3.75542158672592
-0.432344249040075,2.494731942310114,3.749612306729961
-0.42869626365519264,2.4971614257437023,3.743534837911491
-0.42491621113965383,2.499707265217367,3.737208945922286
-0.4210186793841303,2.502363165972775,3.730655513411356
-0.4170187691055172,2.5051222498267034,3.723896519278815
-0.41293204073166495,2.507977026314638,3.716955014417025
-0.408774458705667,2.51091936534441,3.7098550933612575
-0.40456233332382474,2.513940472132199,3.7026218611916284
-0.40031226024243105,2.5170308652990556,3.6952813949433723
-0.3960410578108548,2.5201803591154723,3.6878606986953817
-0.3917657024118637,2.5233780509913717,3.680387651420493
-0.38750326201427737,2.52661231541488,3.672890946599397
-0.38327082816795965,2.529870805639465,3.6654000225284946
-0.379085446696081,2.533140464498583,3.6579449821974976
-0.37496404736434047,2.5364075457809094,3.650556501583432
-0.370923372831134,2.5396576476174495,3.6432657252136855
-0.36697990720565676,2.5428757593024334,3.6361041479032243
-0.363149804562653,2.546046322880553,3.6291034816820993
-0.3594488177821465,2.549153310670668,3.6222955071114784
-0.35589222809960885,2.5521803196482975,3.615711908451311
-0.3524947757664164,2.5551106832659127,3.6093840925005036
-0.3492705922312093,2.5579276008442546,3.6033429913869535
-0.3462331342600664,2.5606142841186834,3.597618850141383
-0.3433951204163732,2.563154119877939,3.5922410005384338
-0.3407684703199058,2.5655308469044216,3.587237623415483
-0.33836424709866664,2.567728744641192,3.5826355024574745
-0.3361926034362073,2.569732830208976,3.578459773227231
-0.3342627316014686,2.571529059624361,3.574733671977108
-0.33258281782774185,2.573104528384332,3.571478289443411
-0.33116000138203894,2.5744476660430453,3.5687123353389962
-0.33000033863649814,2.5755484190737175,3.5664519195627817
-0.3291087724194327,2.576398416233747,3.564710356185686
-0.3284891068858895,2.5769911108718593,3.5634979960140307
-0.3281439881064049,2.5773218951485206,3.5628220929578833
-0.3280748905287232,2.5773881819758375,3.562686708552887
-0.32828210942103436,2.577189451584,3.5630926578370348
-0.3287647593575625,2.5767272609256207,3.564037498431942
-0.32952077875873903,2.576005215554074,3.5655155632046633
-0.33054694044932953,2.5750289050613473,3.567518035387982
-0.3318388681497067,2.573805804536844,3.5700330636128603
-0.33339105876834035,2.572345145720405,3.5730459130479355
-0.3351969103184791,2.570657762496965,3.5765391478215163
-0.33724875523934345,2.5687559160668765,3.580492839172466
-0.33953789886266655,2.566653105501943,3.5848847933607226
-0.3420546627294318,2.5643638694666775,3.589690793262754
-0.344788432429833,2.5619035846747313,3.594884847755101
-0.3477277096118952,2.5592882662070924,3.6004394434048024
-0.35086016778138557,2.5565343741984052,3.60632579358298
-0.3541727114974697,2.5536586306612783,3.6125140808361893
-0.3576515385554154,2.550677849424826,3.6189736891305895
-0.361282204739214,2.547608781365422,3.6256734233737915
-0.3650496907233279,2.544467976347615,3.632581714375711
-0.36893847070365565,2.541271662603033,3.639666808100623
-0.3729325823429642,2.5380356436759532,3.646896938667011
-0.3770156976250915,2.534775212566383,3.654240485058708
-0.3811711942248833,2.531505082307501,3.6616661119173846
-0.3853822270166325,2.5282393319198575,3.669142895096775
-0.3896317993622137,2.524991366481104,3.6766404328811086
-0.39390283384086067,2.521773889925644,3.6841289439152156
-0.39817824210491437,2.518598889130936,3.6915793529739784
-0.4024409935696297,2.5154776278430786,3.6989633657265504
-0.40667418266965294,2.5124206490317733,3.7062535336378795
-0.4108610944397173,2.5094377843326656,3.7134233101070517
-0.4149852682020583,2.506538169324017,3.7204470988780427
-0.419030559167604,2.5037302634864993,3.7273002956811054
-0.42298119778185433,2.501021873803494,3.7339593239783606
-0.42682184666931533,2.4984201810692985,3.7404016656000185
-0.43053765505198993,2.495931768080649,3.746605886971341
-0.434114310537757,2.4935626489900296,3.7525516615477286
-0.4375380881932172,2.4913182991956386,3.758219788997579
-0.44079589683260867,2.489203685231521,3.763592211601088
-0.4438753224698479,2.487223294201688,3.76865202826816
-0.4467646688942455,2.485381162373743,3.7733835065205015
-0.4494529953423305,2.483680902611013,3.7777720927313174
-0.4519301512483118,2.48212573037756,3.7818044208707517
-0.4541868080640836,2.480718488098425,3.7854683199656574
-0.45621448814651333,2.4794616676984598,3.7887528204480545
-0.4580055907150384,2.47835743117791,3.7916481595371296
-0.45955341488642676,2.477407629112154,3.794145785774273
-0.46085217979619203,2.4766138169872027,3.7962383628089893
-0.4618970418175438,2.475977269302598,3.7979197725149447
-0.4626841088891278,2.475498991389676,3.79918511749945
-0.4632104519623182,2.4751797289062933,3.8000307230560257
-0.46347411357758717,2.475019974979965,3.8004541385976234
-0.46347411357758656,2.4750199749799635,3.8004541385976234
-0.4632104519623178,2.4751797289062933,3.8000307230560257
-0.46268410888912764,2.475498991389675,3.79918511749945
-0.4618970418175441,2.4759772693025983,3.797919772514945
-0.4608521797961925,2.4766138169872036,3.7962383628089897
-0.4595534148864264,2.477407629112153,3.7941457857742735
-0.45800559071504027,2.4783574311779106,3.79164815953713
-0.45621448814651366,2.4794616676984584,3.7887528204480554
-0.45418680806408307,2.480718488098425,3.7854683199656565
-0.4519301512483125,2.4821257303775592,3.7818044208707517
-0.4494529953423307,2.483680902611013,3.7777720927313183
-0.4467646688942448,2.485381162373743,3.773383506520502
-0.44387532246984884,2.4872232942016868,3.76865202826816
-0.4407958968326095,2.489203685231522,3.763592211601087
-0.4375380881932182,2.4913182991956377,3.7582197889975792
-0.4341143105377588,2.4935626489900287,3.7525516615477272
-0.43053765505198865,2.495931768080648,3.746605886971342
-0.4268218466693163,2.498420181069297,3.740401665600019
-0.4229811977818557,2.5010218738034933,3.7339593239783615
-0.419030559167604,2.5037302634864993,3.727300295681105
-0.4149852682020601,2.5065381693240174,3.7204470988780427
-0.4108610944397173,2.5094377843326656,3.7134233101070513
-0.4066741826696538,2.512420649031774,3.7062535336378795
-0.4024409935696306,2.5154776278430786,3.69896336572655
-0.3981782421049126,2.518598889130935,3.6915793529739784
-0.3939028338408594,2.5217738899256448,3.6841289439152174
-0.3896317993622137,2.524991366481104,3.6766404328811104
