lambda1,lambda2,lambda3
-0.5398815047006447,2.319497937316921,3.360132456353728
-0.5161089706898669,2.502518870431117,3.318149802236681
-0.11684049566985955,1.6734554759726237,3.430827604493566
-0.5348417173597705,2.3250932214756093,3.442434750217729
-0.5348417173597705,2.3250932214756093,3.442434750217729
-0.11684049566985955,1.6734554759726237,3.430827604493566
-0.5557258228233861,2.2309484296546835,3.456158514540517
-0.289901507098257,1.9155531748878307,3.3854647603787242
-0.5426493820840587,2.681652393225938,3.1035180931601056
-0.48779738146651014,2.1754057855300672,3.3759550569945835
-0.48779738146651014,2.1754057855300672,3.3759550569945835
-0.5426493820840587,2.681652393225938,3.1035180931601056
-0.5541478868326122,2.1719138661174586,3.463035272335797
-0.5361956146496358,2.39691409400729,3.293269484872352
-0.26613722691895075,1.909312039765675,3.3699925407989326
-0.5581201005101322,2.2149940185499633,3.4651975641281685
-0.5581201005101322,2.2149940185499633,3.4651975641281685
-0.26613722691895075,1.909312039765675,3.3699925407989326
-0.567451944065787,2.1560895572439707,3.4880306464520143
-0.43346052693123893,2.147095410763327,3.3384653999520677
-0.47523327371359325,2.3660436111046206,3.2085618791813553
-0.5317106030772645,2.154920735826836,3.4396041636255767
-0.5317106030772645,2.154920735826836,3.4396041636255767
-0.47523327371359325,2.3660436111046206,3.2085618791813553
-0.567451944065787,2.1560895572439707,3.4880306464520143
-0.43346052693123893,2.147095410763327,3.3384653999520677
-0.47523327371359325,2.3660436111046206,3.2085618791813553
-0.5317106030772645,2.154920735826836,3.4396041636255767
-0.5317106030772645,2.154920735826836,3.4396041636255767
-0.47523327371359325,2.3660436111046206,3.2085618791813553
-0.5541478868326122,2.1719138661174586,3.463035272335797
-0.5361956146496358,2.39691409400729,3.293269484872352
-0.26613722691895075,1.909312039765675,3.3699925407989326
-0.5581201005101322,2.2149940185499633,3.4651975641281685
-0.5581201005101322,2.2149940185499633,3.4651975641281685
-0.26613722691895075,1.909312039765675,3.3699925407989326
