Lambda1,Lambda2,Lambda3
-0.5680330290631206,2.1510000000000002,3.489033029063121
-0.5674759607249831,2.1511438156382896,3.488148978777095
-0.5657998819490826,2.1515469116417982,3.4855215960067225
-0.5629904084471501,2.152124656034593,3.4812249954977696
-0.5590243482243655,2.152737449496979,3.475382010511115
-0.5538708465114284,2.153193086999416,3.468162947462655
-0.5474929358288938,2.1532504253254197,3.4597834285087745
-0.5398494444137711,2.1526247089885966,3.4505009229670502
-0.5308972107101271,2.150994973916286,3.4406094961122675
-0.5205935506704051,2.148013954798473,3.4304322964515306
-0.508898928082768,2.1433208244634416,3.4203114036322773
-0.4957797854923227,2.1365568486082025,3.4105949115657026
-0.48121150369213,2.127383626320196,3.4016215446892057
-0.4651814702028191,2.1155030393119065,3.3937036652890367
-0.4476922504862742,2.100677461004744,3.387110114954584
-0.4287648685640667,2.082748360571683,3.3820507622239493
-0.4084422147210262,2.061651369895583,3.3786647066771556
-0.3867926051202861,2.0374262747558682,3.3770137035555146
-0.36391351871337957,2.010221193409894,3.3770815717192804
-0.3399355268079378,1.9802911931082634,3.3787793503889354
-0.3150264041735667,1.947992462604468,3.381955076137539
-0.28939535916889036,1.9137736540997787,3.3864065048454517
-0.263297232556952,1.8781660296496465,3.3918949939473793
-0.23703637622416351,1.8417736514445149,3.3981590174796596
-0.21096971933836017,1.8052641913134841,3.404926246834552
-0.18550825200235288,1.769360162220801,3.411923625238516
-0.16111581581746814,1.7348296200348376,3.418885277827898
-0.13830373890224035,1.7024747485036225,3.4255583826767966
-0.1176196115199512,1.673116343630573,3.431707283482748
-0.099628579277097,1.6475722383414007,3.4371161807259996
-0.08488621328096191,1.626628398616084,3.4415907302571904
-0.0739035345614871,1.6110029817622404,3.444958836675834
-0.06710708728213222,1.6013060187632875,3.4470708748143704
-0.06479951887484192,1.598,3.4477995188748425
-0.06712784011641845,1.6013684056713033,3.4470393116042266
-0.074066214423823,1.6114989368163792,3.4447060675598866
-0.0854173044918812,1.6282854112371095,3.4407361749440435
-0.10083174274432136,1.6514478488776725,3.435085838551799
-0.11984103862804119,1.6805660335077783,3.4277302906198353
-0.14189689945643952,1.7151195122053362,3.4186629853603745
-0.16641008321570067,1.7545271432794478,3.407894785496529
-0.1927838449599229,1.7981812513613717,3.395453144206615
-0.22043957055671137,1.845473983578543,3.381381282797542
-0.2488343311281681,1.895815602074627,3.365737362625176
-0.2774714150220985,1.9486457724755275,3.3485936488927734
-0.30590543901821043,2.00343945293174,3.330035663757156
-0.33374365478666046,2.0597090022627325,3.310161326546816
-0.3606448118867439,2.1170038699884337,3.289080079863336
