Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6
0.11766933350323526,0.2176693335032348,1.0208731675981408,1.1208731675981398,4.1517291634876985,4.251729163487698
0.10005863368695991,0.2000586336869589,1.0394801185021,1.1394801185021008,4.138816164401776,4.238816164401775
0.08330322938330079,0.1833032293833004,1.058158220128481,1.158158220128481,4.1242526737724035,4.224252673772402
0.06749377531928717,0.16749377531928705,1.0769174384442584,1.1769174384442598,4.107954114172047,4.20795411417205
0.05273239391920686,0.15273239391920626,1.0957473875005037,1.1957473875005034,4.089847700495552,4.189847700495551
0.039130956534383476,0.13913095653438182,1.1146180979803877,1.2146180979803856,4.069873348912005,4.169873348912006
0.026809019505387662,0.12680901950538773,1.1334814062778398,1.2334814062778388,4.047984298816951,4.147984298816953
0.015891565796521154,0.11589156579652254,1.1522727991530497,1.2522727991530487,4.024147462176676,4.124147462176676
0.0065066765765348375,0.1065066765765344,1.170913572411099,1.270913572411098,3.998343517668435,4.098343517668435
-0.0012167690267864898,0.09878323097321365,1.1893131865563202,1.2893131865563214,3.9705667687059623,4.0705667687059615
-0.007151292512039497,0.09284870748796052,1.2073717264218533,1.3073717264218536,3.940824785178528,4.040824785178529
-0.011172861679644144,0.08882713832035695,1.2249823939013291,1.3249823939013277,3.909137848883584,4.009137848883585
-0.01316275113886417,0.08683724886113531,1.2420339820574073,1.3420339820574065,3.8755382225185824,3.9755382225185825
-0.013009200823836841,0.08699079917616494,1.2584132944642352,1.3584132944642342,3.840069261991192,3.9400692619911903
-0.010608867637692317,0.08939113236230667,1.2740074854955799,1.3740074854955788,3.8027843919325264,3.902784391932526
-0.005868074120089056,0.09413192587991222,1.2887063055537604,1.388706305553762,3.7637459648273532,3.8637459648273538
0.0012961358735427448,0.10129613587354132,1.302404240309192,1.4024042403091919,3.7230240252281503,3.8230240252281478
0.010955120540508208,0.11095512054050713,1.3150025353623154,1.4150025353623157,3.6806950021622757,3.780695002162275
0.023167926261730573,0.12316792626173019,1.3264110978745889,1.4264110978745883,3.6368403550817496,3.736840355081749
0.03798071898523302,0.13798071898523287,1.3365502651803025,1.436550265180303,3.5915452014916953,3.691545201491694
0.05542634282881764,0.15542634282881718,1.3453524277216573,1.445352427721657,3.5448969576118285,3.644896957611828
0.07552398769143037,0.1755239876914303,1.352763490374852,1.4527634903748516,3.4969840268993426,3.5969840268993405
0.09827894753642612,0.19827894753642594,1.3587441528801845,1.4587441528801843,3.447894574762341,3.547894574762342
0.12368245067914188,0.22368245067914216,1.3632709871726656,1.4632709871726661,3.397715431057181,3.497715431057181
0.15171154264135606,0.2517115426413552,1.3663372874313844,1.4663372874313838,3.3465311647250187,3.4465311647250196
0.1823290006875838,0.28232900068758404,1.3679536680836055,1.4679536680836058,3.2944233769639903,3.394423376963991
0.21548325676174865,0.31548325676174843,1.3681483861935713,1.4681483861935722,3.24147026054379,3.3414702605437903
0.25110830185891475,0.35110830185891545,1.366967367896016,1.4669673678960153,3.18774647332834,3.28774647332834
0.28912353944452573,0.38912353944452566,1.364473923897716,1.464473923897715,3.133323374133217,3.2333233741332164
0.3294335477477717,0.42943354774777187,1.3607481464698545,1.4607481464698548,3.0782696694298,3.1782696694298003
0.37192769972267914,0.4719276997226781,1.3558859894888085,1.455885989488808,3.022652521302305,3.1226525213023058
0.41647957392436774,0.5164795739243677,1.3499980434725207,1.4499980434725208,2.966539172213234,3.066539172213235
0.46294606766673746,0.5629460676667379,1.34320802860648,1.4432080286064803,2.9099991529572424,3.009999152957242
0.511166092980084,0.6111660929800847,1.3356510398519734,1.4356510398519733,2.853107159919225,2.9531071599192247
0.5609586922795919,0.660958692279593,1.327471588926404,1.4274715889264042,2.795946720647132,2.8959467206471325
0.6121203488512975,0.7121203488512975,1.3188214981683486,1.4188214981683493,2.738614818312562,2.838614818312561
0.6644211795775818,0.7644211795775824,1.3098577117142431,1.4098577117142441,2.6812277228809513,2.781227722880951
0.7175995731891701,0.8175995731891706,1.3007401020603395,1.4007401020603403,2.623928388277386,2.7239283882773857
0.7713546629172934,0.8713546629172932,1.291629369701003,1.3916293697010036,2.566895929602895,2.6668959296028953
0.8253357813272171,0.9253357813272161,1.2826851705927897,1.3826851705927896,2.5103578984611294,2.6103578984611295
0.8791277216812381,0.9791277216812379,1.274064684421842,1.3740646844218416,2.4546063196284145,2.5546063196284154
0.932230217347216,1.0322302173472164,1.2659220129560167,1.3659220129560166,2.4000186887946025,2.500018688794602
0.9840295588152983,1.0840295588152984,1.2584092185725182,1.3584092185725174,2.3470852022100837,2.4470852022100837
1.0337596918296346,1.1337596918296355,1.251680885266541,1.351680885266541,2.2964429928775307,2.396442992877531
1.080449158895641,1.1804491588956407,1.2459070278073479,1.3459070278073486,2.2489161857725066,2.348916185772505
1.1228467322134976,1.2228467322134977,1.2413078248759817,1.3413078248759813,2.205555448577701,2.3055554485777012
